,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
22859,22859,France,"Despite the age, the color of this wine is still impressively vibrant and the ripe fruit and dense structure both speak of a wine that is still developing even nine years later. Such is longevity of a great Malbec. Blackberry fruit flavors charge through this wine that's reached the point of balance with the tannins. Drink now, although the wine will still be developing in 2018.",Clos Triguedina Probus,93,68.0,Southwest France,Cahors,,Roger Voss,@vossroger,Jean-Luc Baldès 2007 Clos Triguedina Probus Malbec (Cahors),Malbec,Jean-Luc Baldès
28108,28108,Italy,"Aromas of leather, forest floor, tobacco, mature berry and a balsamic note open this structured, elegant wine. The palate delivers crushed black cherry, cinnamon, licorice and savory herb alongside firm but polished tannins and fresh acidity. Drink 2016–2026.",Riserva,94,50.0,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Pian delle Querci 2006 Riserva  (Brunello di Montalcino),Sangiovese,Pian delle Querci
75464,75464,Spain,"Light, airy and dusty on the nose, with apple and melon along with a touch of yeast. The palate is plump and healthy, with a good bead, nice acids and cidery, lightly briney apple and green fruit flavors. Shows some complexity beyond what's normal for Cava.",Winemakers Select,88,15.0,Catalonia,Cava,,Michael Schachner,@wineschach,Marques de Monistrol 2007 Winemakers Select Sparkling (Cava),Sparkling Blend,Marques de Monistrol
100438,100438,US,"This bottling from young winemaker Michael Miroballi shows lime blossom, chalk, fresh rain on concrete and nectarine flesh on the nose. The palate is exuberant with flavors but they're not ripe, instead showing lime peels and juice, a cement-like grip and a buzzing sensation that overtakes the mouth like a Sichuan peppercorn.",,92,25.0,California,Santa Ynez Valley,Central Coast,Matt Kettmann,@mattkettmann,Miroballi Wines 2013 Grenache Blanc (Santa Ynez Valley),Grenache Blanc,Miroballi Wines
96757,96757,US,"Lemon-lime and lemon curd mark this wine. The lemon theme continues throughout the layers of apple, vanilla and oak, the oak not perceptible until near the round, voluptuous finish.",,88,28.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,VML 2012 Chardonnay (Russian River Valley),Chardonnay,VML
104022,104022,Italy,"Founded in 1915, Donelli produces some of central Italy's finest Lambrusco bottlings. This dry, red sparkler has enough acidity and fizzy effervescence to cut through local cuisine, such as tortellini with cheese or butter. The bouquet shows red berry, strawberry and blackberry. Made with 90% Lambrusco di Sorbara grapes.",Scaglietti,86,20.0,Central Italy,Lambrusco di Sorbara,,,,Donelli NV Scaglietti  (Lambrusco di Sorbara),Lambrusco,Donelli
71269,71269,Portugal,A blend of Sauvignon Blanc and Fernão Pires where the blend produces a wine that is soft and gently fruity. It has attractive acidity as well as a touch of spice and intense citrus at the end. Drink now.,Terra de Lobos Branco,84,,Tejo,,,Roger Voss,@vossroger,Quinta do Casal Branco 2015 Terra de Lobos Branco White (Tejo),Portuguese White,Quinta do Casal Branco
49837,49837,Israel,"Soft suggestions of cigar ash and green pepper complement the fruity notes of small red berries and plum. Forward medium-grain tannins and prominent acidity supply a sturdy backbone to the wine, leading through to the anise-infused finish.",Appellation Kosher,86,24.0,Upper Galilee,,,Lauren Buzzeo,@laurbuzz,Carmel 2007 Appellation Kosher Cabernet Franc (Upper Galilee),Cabernet Franc,Carmel
58288,58288,Italy,There's a distinctive herbal and mineral linearity to this white that is accented by tones of kiwi and passion fruit. Offers a sharp point of spicy acidity and just enough structure to broaden its appeal in the mouth. Closed with a glass cork.,,86,17.0,Northeastern Italy,Friuli Grave,,,,Plozner 2006 Pinot Grigio (Friuli Grave),Pinot Grigio,Plozner
46918,46918,Italy,"Made with Nebbiolo planted in the high vineyards of Valtellina, this vibrant fragrant red opens with aromas of rose, wild berry, Alpine herb and a tarry note. The linear palate delivers red cherry, star anise and mineral while taut fine-grained tannins and racy acidity provide an elegant, ageworthy structure. Drink 2020–2030.",Vigna Riserva,93,70.0,Lombardy,Valtellina Superiore,,Kerin O’Keefe,@kerinokeefe,Dirupi 2013 Vigna Riserva  (Valtellina Superiore),Nebbiolo,Dirupi
103439,103439,France,"This tight, taut and crisp wine needs some time to bring out its true fruity character. Behind the texture, ripe green plums and fresh apples are cut with lime juice. The wine is still young and could benefit from a few more months. Drink from late 2015.",Domaine de la Fruitière Gneiss de Bel Abord Sur Lie,89,18.0,Loire Valley,Muscadet Sèvre et Maine,,Roger Voss,@vossroger,Lieubeau 2013 Domaine de la Fruitière Gneiss de Bel Abord Sur Lie  (Muscadet Sèvre et Maine),Melon,Lieubeau
56054,56054,Chile,"This is an earthy, somewhat flat wine with herbal berry aromas that fall away in quiet form. A full, grabby palate brings berry, raisin and tobacco flavors, all supported by a modest beam of acidity. A finish of earth, tobacco and mulchy flavors announce that 2009 was indeed a hot vintage in Chile.",Erasmo,88,30.0,Maule Valley,,,Michael Schachner,@wineschach,Caliboro Estate 2009 Erasmo Red (Maule Valley),Red Blend,Caliboro Estate
43937,43937,US,"A sense of richness comes with the creamy flavors in this smooth, light-bodied Chardonnay-like bubbly. The wine starts with a surprising marshmallow aroma, then goes to pear and ripe apple flavors. It is balanced toward the soft, rather than crisp, side of the scale.",Brut,88,25.0,California,California,California Other,Jim Gordon,@gordone_cellars,Rock Wall 2013 Brut Sparkling (California),Sparkling Blend,Rock Wall
64630,64630,US,"A bit strong in those infamous feline aromas and tastes, but okay in crisp, dry citrus and lemongrass flavors. Give it a good decant before serving.",,84,16.0,California,High Valley,,,,Two Angels 2007 Sauvignon Blanc (High Valley),Sauvignon Blanc,Two Angels
36202,36202,France,"A superb, mature wine that is ripe, toasty and full of yellow- and white-fruit flavors. A fine balance brings up spice, an opulent texture, a taut edge of steel and a feeling that this fine wine is ready to drink. It can age, and it will be better over the next few years as its secondary aromas stay in balance with the fruitiness.",Dom Ruinart Brut,95,130.0,Champagne,Champagne,,Roger Voss,@vossroger,Ruinart 2002 Dom Ruinart Brut  (Champagne),Champagne Blend,Ruinart
47661,47661,US,"Winemaker Eugenia Keegan has a long and impressive track record with Burgundian grapes, and her skill shines through on her first release for Gran Moraine. Sappy and focused, this offers pinpoint fruit flavors of apple and pineapple, with pretty accents of toast and nut oils from barrel fermentation and monthly battonage. Drink through 2024.",,92,45.0,Oregon,Willamette Valley,,Paul Gregutt,@paulgwine ,Gran Moraine 2013 Chardonnay,Chardonnay,Gran Moraine
104591,104591,Portugal,"A richly-styled style of Vinho Verde, one that's well integrated, fresh and fruity. Baked apple and crisp lemon go well with the sweeter aftertaste to create a light and bright wine.",Las Lilas,85,9.0,Vinho Verde,,,Roger Voss,@vossroger,Adega Cooperativa Ponte de Barca 2013 Las Lilas White (Vinho Verde),Portuguese White,Adega Cooperativa Ponte de Barca
115272,115272,France,"This is ripe and full in the mouth, with fine acidity and rich white stone fruit. It's delicious and floral, balancing its crisp texture with generous fruitiness. Great as an apéritif or with food, it's a refreshing wine to drink now.",Chignin,90,20.0,France Other,Savoie,,Roger Voss,@vossroger,Les Rocailles 2016 Chignin Jacquère (Savoie),Jacquère,Les Rocailles
127862,127862,Italy,"This wine opens with aromas of prune, plum, blackberry and graphite. The palate offers raw red cherry, raspberry and a light touch of mineral alongside fresh acidity and drying tannins.",Colle Rotondella,87,18.0,Southern Italy,Campi Flegrei,,Kerin O’Keefe,@kerinokeefe,Cantine Astroni 2012 Colle Rotondella Piedirosso (Campi Flegrei),Piedirosso,Cantine Astroni
70886,70886,Italy,"This expression of Sangiovese offers thick extraction and intense aromas of cherry, blackberry, vanilla, toast and spice. It's a dense and modern wine with chewy succulence and long-lasting berry flavors. Drink it with roasted lamb or grilled beef.",Ceppatella,90,36.0,Tuscany,Toscana,,,,Fattoria Fibbiano 2005 Ceppatella Sangiovese (Toscana),Sangiovese,Fattoria Fibbiano
89113,89113,France,"Hints at toast and buttery richness on the nose, then delivers exactly that on the palate. Its mouthfilling peach and melon flavors are deliciously soft and drinkable, featuring touches of honey and truffle on the finish. Drink now.",Hautes Pierres,87,,Rhône Valley,Ventoux,,Joe Czerwinski,@JoeCz,Domaine de Tara 2009 Hautes Pierres White (Ventoux),Rhône-style White Blend,Domaine de Tara
72385,72385,Italy,"Aromas of red berry, toast, and a hint of vanilla come together on this. The palate is a bit lean, exhibiting unripe red cherry accented with black pepper, anise and dried sage. Solid tannins provide structure.",La Fenice,88,,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Tenimenti Famiglia Cavallero 2011 La Fenice  (Barolo),Nebbiolo,Tenimenti Famiglia Cavallero
112828,112828,Italy,"Red berry and intense white pepper aromas lead the nose on this bright, easygoing red. The fresh, easy-drinking palate offers wild cherry, clove and toasted almond alongside loose knit tannins. Serve chilled for an ideal summer red.",,87,19.0,Southern Italy,Calabria,,Kerin O’Keefe,@kerinokeefe,Statti 2014 Gaglioppo (Calabria),Gaglioppo,Statti
112522,112522,Italy,"Mature berry, pressed rose petal and exotic spice pave the way on this easygoing red while the medium-bodied palate boasts juicy black cherry, clove and a hint of coffee. Round tannins provide support. Drink through 2018.",,88,25.0,Tuscany,Vino Nobile di Montepulciano,,Kerin O’Keefe,@kerinokeefe,Nottola 2012  Vino Nobile di Montepulciano,Red Blend,Nottola
18097,18097,South Africa,"A full-bodied wave of savory spice and rich fruit. Aromas of tobacco, mint, cassis and mocha lead, followed by smooth, luscious flavors of plum, smoke, and tobacco. Ageable but delicious now, the wine has a soft character that makes it good for solo sipping. It also will pair nicely with steaks and soft cheeses.",Liber II,91,51.0,Durbanville,,,Susan Kostrzewa,@suskostrzewa,Emineo 2007 Liber II Red (Durbanville),Red Blend,Emineo
49863,49863,Canada,"One hundred percent Cabernet Franc, this wine shows subtle, nuanced aromas of fresh strawberry, cherry and wildflowers. The palate is compact with a tight core of sweet fruit flavors.",Icewine,88,40.0,Ontario,Short Hills Bench,,Sean P. Sullivan,@wawinereport,Henry of Pelham 2012 Icewine Cabernet (Short Hills Bench),Cabernet,Henry of Pelham
91716,91716,Chile,"GSM means Grenache, Syrah and Mourvèdre, while the T stands for Tempranillo. On the nose, it's spicy and a touch stalky and roasted. The mouthfeel is full and balanced, while flavors of baked plum cassis, cocoa and tea finish mellow, with mild tannins.",GSM+T,89,30.0,Marchigue,,,Michael Schachner,@wineschach,Polkura 2011 GSM+T Red (Marchigue),Red Blend,Polkura
2978,2978,France,"Owner Thierry Valette has been around the Right Bank (the family owned Pavie and owns Troplong Mondot) and, as a consultant, the world. Here he offers a delicious juicy wine with fine tannins and ripe red fruits. It has mint and spice perfumes along with balanced acidity. Drink this attractive wine from 2018.",,91,,Bordeaux,Castillon Côtes de Bordeaux,,Roger Voss,@vossroger,Clos Puy Arnaud 2014  Castillon Côtes de Bordeaux,Bordeaux-style Red Blend,Clos Puy Arnaud
43234,43234,US,"More earthy and herbal than fruity, this medium-bodied wine from Calaveras County tastes rich and round on the palate and has a subtle savory character. With two-and-a-half years of aging before release, it shows the nicely mellowing effect of time.",Estate Grown,87,20.0,California,Sierra Foothills,Sierra Foothills,Jim Gordon,@gordone_cellars,Tanner 2014 Estate Grown Vermentino (Sierra Foothills),Vermentino,Tanner
45683,45683,US,"The aromas and tastes of oak dominate this Chardonnay, with buttered toast and sweet caramel riding high over the pineapple, mango and pear flavors. But crisp acidity provides needed balance, and there's a fine minerality that gives a tang of stone. A good price for a Chard this complicated.",,87,13.0,California,Arroyo Seco,Central Coast,,,Ventana 2008 Chardonnay (Arroyo Seco),Chardonnay,Ventana
39222,39222,Italy,"Red berry, underbrush, crushed herb and a whiff of porcini mushroom aromas lead the way. Linear and rather straightforward, the palate offers juicy sour cherry, cranberry and clove alongside polished tannins. It won't take years to come around. Drink 2019–2025.",,89,46.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Batasiolo 2013  Barolo,Nebbiolo,Batasiolo
26435,26435,Germany,"Sweet and savory go hand-in-hand in this intensely smoky, yet penetratingly fruity wine. It's a deeply mineral Spätlese, marked by dark, dusty streaks of slate, yet brimming with vibrant tangerine and peach flavors. A spike of electric acidity leads a long, long finish.",Kiedrick Turmburg Spätlese,94,92.0,Rheingau,,,Anna Lee C. Iijima,,Robert Weil 2014 Kiedrick Turmburg Spätlese Riesling (Rheingau),Riesling,Robert Weil
15432,15432,France,"This ripe, complex wine offers a delicate combination of apple, lemon and honey, with a mineral texture. Balanced already although likely to age well, it is full of fruit, with a more steely texture at the end. Drink now for the fruit, but it will be better to wait until 2018.",Sec,90,16.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Domaine de Vaugondy 2015 Sec  (Vouvray),Chenin Blanc,Domaine de Vaugondy
56111,56111,France,"Made from organically grown grapes, this blend of 30% Syrah, 30% Mourvèdre, 30% Grenache and 10% Carignan boasts a pleasant balance of ripe black-fruit tones and earthy, herbal hints of garrigue. Hints of violet and lightly toasted oak add depth and interest throughout, with a lush, fruity finish of blackberry and boysenberry.",Tradition,89,17.0,Languedoc-Roussillon,Saint-Chinian,,Lauren Buzzeo,@laurbuzz,Château Bousquette 2013 Tradition Red (Saint-Chinian),Rhône-style Red Blend,Château Bousquette
31985,31985,US,Hints of wild game and ceder lend rusticity to tart red-currant notes on this elegant Cabernet Franc. It's delicate in body but densely concentrated in red cherry and cassis flavors that penetrate. Finishes boldly with a mouth-filling fringe of tannins.,,89,40.0,New York,North Fork of Long Island,Long Island,Anna Lee C. Iijima,,Bedell 2012 Cabernet Franc (North Fork of Long Island),Cabernet Franc,Bedell
87141,87141,Portugal,"A hugely structured and powerful wine, this wine comes from old vines at Herdade do Espoão's Douro vineyard. It is rich in black fruits and firm tannins and is still young. There is strength and virility in this sinewy wine with its dark structure and density. Drink this impressive wine from 2020.",VV 47,95,100.0,Douro,,,Roger Voss,@vossroger,Quinta dos Murças 2012 VV 47 Red (Douro),Portuguese Red,Quinta dos Murças
115528,115528,Chile,"Light, lucid and exactly what we're looking for from Chile. This organic wine has pure varietal aromas of nettles, tarragon and citrus, which are followed by flavors of green fruits, scallion and pepper. It's super zesty and spritzy, with a cleansing finish. About as true as they come in this price range.",Natura,88,11.0,Casablanca Valley,,,Michael Schachner,@wineschach,Emiliana 2008 Natura Sauvignon Blanc (Casablanca Valley),Sauvignon Blanc,Emiliana
123467,123467,Italy,"Here's a very pleasurable Barbera with loads of fruit intensity followed by smoke, pipe tobacco, sweet chocolate and vanilla bean. The wine is executed in a modern style with enduring intensity and a soft, velvety finish. Pair it with baked chèvre cheese.",Monte Colombo,91,43.0,Piedmont,Barbera d'Asti,,,,Tenute Cisa Asinari dei Marchesi di Gresy 2006 Monte Colombo  (Barbera d'Asti),Barbera,Tenute Cisa Asinari dei Marchesi di Gresy
87584,87584,France,"A ripe melon aroma follows through to a wine that is rich, open and generous. While it misses some freshness and acidity, its ripe, rounded fruit flavors are an enjoyable compensation. For short-term aging.",Hatschbourg Grand Cru,90,,Alsace,Alsace,,Roger Voss,@vossroger,Joseph Cattin 2010 Hatschbourg Grand Cru Pinot Gris (Alsace),Pinot Gris,Joseph Cattin
37751,37751,US,"A superdark color and effusive aromas of wood smoke, raisin and dried fig set the stage for extremely concentrated, ripe fruit on the palate and a thickly tannic texture. The exuberance of the grape and blackberry flavors nicely counterbalances the firm texture. This will age well, so best to drink it after 2020.",Earthquake,93,26.0,California,Lodi,Central Valley,Jim Gordon,@gordone_cellars,Michael David 2014 Earthquake Petite Sirah (Lodi),Petite Sirah,Michael David
7127,7127,US,"Lemon custard, ripe Gala apples and a seemingly sweet candy element show on the nose of this wine from a family-owned producer. Bright energy and ripe apple characterize the palate, along with green pear skins and stonefruit.",Family Reserve,87,26.0,California,Carmel Valley,Central Coast,Matt Kettmann,@mattkettmann,Joullian 2014 Family Reserve Sauvignon Blanc (Carmel Valley),Sauvignon Blanc,Joullian
28780,28780,US,"A little floral and a lot of fruity and spicy elements make this full-bodied wine delicious and nicely complex. The grape flavors are fully ripe, like blackberry and black cherry, and the texture is broad and juicy without being too soft. It blends grapes from Angel Camp Vineyard with Balo-grown grapes.",Avenging Angel,91,55.0,California,Anderson Valley,,Jim Gordon,@gordone_cellars,Balo 2013 Avenging Angel Pinot Noir (Anderson Valley),Pinot Noir,Balo
62847,62847,Australia,"Light in weight and subtle in flavor, this Chard is a welcome change from some of its mega-mallowy Oz compatriots. There are citrus and peach flavors on the palate and floral, yellow fruit aromas; it starts to get toasty with aeration.",,85,16.0,Western Australia,Western Australia,,,,Chalice Bridge 2001 Chardonnay (Western Australia),Chardonnay,Chalice Bridge
13855,13855,Spain,"Nectarine and white peach aromas are pithy, pointed and briny like sea water. This feels citrusy and pulpy, while zesty citric flavors of grapefruit, scallion and green herbs finish with residual pithy briny notes.",Barranc Dels Closos,86,26.0,Catalonia,Priorat,,Michael Schachner,@wineschach,Mas Igneus 2013 Barranc Dels Closos White (Priorat),White Blend,Mas Igneus
46600,46600,Italy,"This brunello offers a pretty bouquet, showing elegance and restraint at the same time. There are layers of small berry fruit, spice and leather, with dusty, dry tannins. The wine's overall astringency should soften with time.",Riserva,92,90.0,Tuscany,Brunello di Montalcino,,,,Fattoria dei Barbi 2006 Riserva  (Brunello di Montalcino),Sangiovese Grosso,Fattoria dei Barbi
114213,114213,Italy,"Made without the added dosage used to enhance sweetness in traditionally crafted sparklers, this wine proves that with great fruit no corrections are needed. Flavors include ripe McIntosh apple, bright nectarine, toasted almond and vanilla alongside an elegant perlage. It finishes dry in flavor, with tangy acidity.",Vintage Collection Dosage Zero,92,75.0,Lombardy,Franciacorta,,Kerin O’Keefe,@kerinokeefe,Ca' del Bosco 2009 Vintage Collection Dosage Zero Sparkling (Franciacorta),Sparkling Blend,Ca' del Bosco
75587,75587,France,"Reflecting the warm 2015 vintage, this is smooth and creamy. It has great fruitiness, recalling yellow fruit cut with a strong citrus streak. It's a wine to drink young, from late 2017.",Croix-Jarrier,88,25.0,Burgundy,Mâcon-Verze,,Roger Voss,@vossroger,Vignerons des Terres Secrètes 2015 Croix-Jarrier  (Mâcon-Verze),Chardonnay,Vignerons des Terres Secrètes
35133,35133,France,"A very pale wine—it's just barely pink. With Cabernet Sauvignon in the blend, it has a fine structured character that gives the wine weight. There are also refreshingly attractive red-berry fruits and a ripe aftertaste. Drink this complex wine from late 2017.",Secret de Léoube,91,40.0,Provence,Côtes de Provence,,Roger Voss,@vossroger,Château Léoube 2016 Secret de Léoube Rosé (Côtes de Provence),Rosé,Château Léoube
61209,61209,Chile,"Rustic smelling, this has a leafy scent and red fruit aromas akin to cherry and raspberry. The mouthfeel is tight, jumpy and alert, and the flavors of cassis and plum set up a rugged, scratchy finish, with notes of carob, vanilla and coffee.",T.H. Alto Maipo,87,25.0,Pirque,,,Michael Schachner,@wineschach,Undurraga 2009 T.H. Alto Maipo Cabernet Sauvignon (Pirque),Cabernet Sauvignon,Undurraga
82049,82049,France,"Firm tannins form the backdrop to this potentially rich and full wine. Bitter cherry and wild raspberry flavors give a young and fruity character, still integrating with the structure. Give this concentrated wine several years and drink from 2018.",Les Riottes,89,,Burgundy,Pommard,,Roger Voss,@vossroger,Domaine Parigot 2013 Les Riottes  (Pommard),Pinot Noir,Domaine Parigot
119006,119006,US,"A big, soft red with lots of plush fruit flavors, this is soft in balance, definitely sweet rather than dry, smooth in texture and full of candied fruit accents.",,85,11.0,California,California,California Other,Jim Gordon,@gordone_cellars,Dado 2012 Red (California),Red Blend,Dado
57757,57757,France,"89-91. Barrel sample. Full-bodied and warm, this is a smooth wine. It's very accessible with blackberry fruit and delicious acidity. An attractive wine.",Barrel Sample,90,,Bordeaux,Haut-Médoc,,Roger Voss,@vossroger,Château Larose-Trintaudon 2011 Barrel Sample  (Haut-Médoc),Bordeaux-style Red Blend,Château Larose-Trintaudon
124197,124197,France,"Produced from vines that are up to 80-years-old and now organic, this concentrated wood-aged wine is perfumed, rich and firmly structured. Dark tannins line the wine supporting the black plum and cherry fruits and acidity. Richard Rottiers, new on the scene in 2007, created a cru that is going to be a very fine wine. Drink from 2018.",,94,21.0,Beaujolais,Moulin-à-Vent,,Roger Voss,@vossroger,Domaine Richard Rottiers 2015  Moulin-à-Vent,Gamay,Domaine Richard Rottiers
62208,62208,Chile,"Lactic oak and rubbery black fruit aromas lead to a wiry, acidic palate. This is limited in its flavor range, with plum and berry flavors leading the way. An edgy feeling finish with plum and snappy acidity is not too demanding.",Reserva Sepia,86,12.0,Maipo Valley,,,Michael Schachner,@wineschach,Vistamar 2013 Reserva Sepia Merlot (Maipo Valley),Merlot,Vistamar
25050,25050,US,"This Chardonnay already shows quite a bit of age. Hazelnut and chestnut dominate the nose with burnt lemon peel acidity at the edges. The palate picks up roasted marshmallow and roasted nut flavors, followed by a toffee finish. Drink now.",Gravel Ridge Vineyard Estate,88,29.0,California,Santa Cruz Mountains,Central Coast,Matt Kettmann,@mattkettmann,Cooper-Garrod 2011 Gravel Ridge Vineyard Estate Chardonnay (Santa Cruz Mountains),Chardonnay,Cooper-Garrod
55949,55949,US,"Talley produces some of the best Chardonnays on the Central Coast. Although this isn't one of their single-vineyard bottlings, it's a splendid wine, dry, crisp and silky. It shows complex citrus, vanilla and mineral flavors, and should pair with lobster, shrimp and scallops.",Estate Bottled,91,26.0,California,Arroyo Grande Valley,Central Coast,,,Talley 2010 Estate Bottled Chardonnay (Arroyo Grande Valley),Chardonnay,Talley
56683,56683,US,"Based on 84% Cabernet Sauvignon, with all four major red Bordeaux varieties represented, this expansive wine is big, dense and dusty in tannins and oak, but offers a soft side, too. Cherry, strawberry and a lift of citrus peel ease the power and intensity, before a chewy, dark chocolate finish. Cellar through 2021.",Synchrony Stagecoach Vineyard,91,100.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Krupp Brothers 2011 Synchrony Stagecoach Vineyard Red (Napa Valley),Bordeaux-style Red Blend,Krupp Brothers
21688,21688,US,"This limited-production wine is a bit tough and awkward now, but may turn the corner in the cellar after 2009. It's softly dry and tannic, with herb-infused cherry and currant flavors.",Eight Barrels,85,38.0,California,Alexander Valley,Sonoma,,,Spann Vineyards 2005 Eight Barrels Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Spann Vineyards
50108,50108,US,"Sweet and soft, like melted jam, this Barbera has plush blackberry, cherry and raspberry flavors. Given its tannins and acids, it will probably age for a long time.",,84,34.0,California,Mendocino County,,,,VJB 2006 Barbera (Mendocino County),Barbera,VJB
4968,4968,France,"Ripe black currant aromas set this wine on its full, warm path. It is intensely fruity with a rounded feel to it. The acidity cuts through the ripe character, giving tension and a piercing crisp aftertaste.",Anciennes Vignes,90,26.0,Loire Valley,Sancerre,,Roger Voss,@vossroger,Patient Cottat 2010 Anciennes Vignes  (Sancerre),Sauvignon Blanc,Patient Cottat
57300,57300,France,"The great 2010 vintage has produced an appropriately powerful and dense wine. With its tannins and concentrated, dry flavors, this wine is still young. It has power, the rich black fruit still masked by the structure. It will need long aging, so drink from 2018.",Ortus,91,27.0,Southwest France,Côtes de Bergerac,,Roger Voss,@vossroger,Château Bélingard 2010 Ortus Red (Côtes de Bergerac),Bordeaux-style Red Blend,Château Bélingard
126460,126460,Italy,"Initially closed, this eventually offers alluring aromas of toasted hazelnut, exotic spice, steeped plum and nutmeg. The chewy palate offers juicy Marasca cherry, baking spice, vanilla and a hint of coffee alongside velvety tannins that lend polished support and a smooth mouthfeel. Drink through 2023.",Pora,93,38.0,Piedmont,Barbaresco,,Kerin O’Keefe,@kerinokeefe,Musso 2013 Pora  (Barbaresco),Nebbiolo,Musso
33822,33822,US,"An example of California Barbera at its best, this is brawny and muscular and rich in flavor, which makes it perfect for roasts and hearty pasta dishes. With firm tannins and crisp acidity, this one is filled with rewarding currant, mocha, olive tapenade and spice flavors.",,88,22.0,California,Sierra Foothills,Sierra Foothills,,,Indian Rock 2005 Barbera (Sierra Foothills),Barbera,Indian Rock
5141,5141,Austria,"The merest touch of apricot caresses the vanilla and hazelnut notes of fine oak. The palate, on the other hand, conveys power and concentration, held tight and taut by lemon freshness. This will take a little while in bottle to unfold and should entice lovers of Chardonnay with its combination of bright freshness and lush fruit.",Kreuzgang,92,39.0,Wagram,,,Anne Krebiehl MW,@AnneInVino,Anton Bauer 2015 Kreuzgang Chardonnay (Wagram),Chardonnay,Anton Bauer
33293,33293,US,"Aromas like black olive, clove and dark cherry continue in the flavors of this full-flavored and full-bodied wine. Mellow oak notes like cedar and tobacco add complexity.",deb-ru-vée,87,36.0,California,California,California Other,Jim Gordon,@gordone_cellars,Longevity 2011 deb-ru-vée Red (California),Red Blend,Longevity
33990,33990,US,"Very lively and jumpy, with bright cherry fruit supported by high-voltage acidity. It hits the high notes, but lacks the bass below, and therefore is ultimately a bit out of balance. Very much a cherry-fruit dominated, one-dimensional wine",Estate,84,12.0,Oregon,Oregon,Oregon Other,Michael Schachner,@wineschach,Eola Hills 1998 Estate Pinot Noir (Oregon),Pinot Noir,Eola Hills
46329,46329,US,"Spicy berry, chocolate and bitter greens are in play, though slightly muted. The components smooth out and surf into a broad, easygoing finish. Drink up.",Hyland Vineyard Reserve,88,38.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,City Winery of New York 2012 Hyland Vineyard Reserve Pinot Noir (Willamette Valley),Pinot Noir,City Winery of New York
88772,88772,Australia,"Hyperperfumed, with billowing floral notes, raspberries and citrus that provide immediate impact. The sweet, fruity flavors are adequately balanced by bubbly froth, making for an easy-to-drink quaff. The gentle pink color is even reminiscent of summertime sunsets. Drink now.",,87,14.0,Victoria,Victoria,,Joe Czerwinski,@JoeCz,Innocent Bystander 2010 Moscato (Victoria),Moscato,Innocent Bystander
106769,106769,Italy,"Crushed mint, red berry and menthol aromas mix with an unusual scent suggesting paraffin. The aromas carry over to the straightforward linear palate together with sour cherry, thyme and clove alongside. Firm tannins and fresh acidity provide support.",,88,30.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Cantina del Nebbiolo 2013  Barolo,Nebbiolo,Cantina del Nebbiolo
10904,10904,US,"Hints of waxy white florals and lemon zest persist from nose to finish on this intensely revitalizing semidry Riesling. Tart stone-fruit flavors penetrate the palate, highlighted by a stream of spine-tingling acidity.",Semi-Dry,90,17.0,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Anthony Road 2013 Semi-Dry Riesling (Finger Lakes),Riesling,Anthony Road
32522,32522,Greece,"This wine balances fresh fruit, citrus and tropical fruit with a crisp minerality. The wine offers freshness as well as spiciness and a touch of curve. Pair with sautéed fish, salads.",Katerina,84,20.0,Santorini,,,Susan Kostrzewa,@suskostrzewa,Agros 2008 Katerina Assyrtico (Santorini),Assyrtico,Agros
34350,34350,France,"92-94. Barrel sample. A smooth, mellifluous wine, with its intensity masked by tight acidity. It shows the weight of the vintage, and the power of the botrytis that's interspersed with flavors of orange zest and lime. It should age magnificently.",Barrel Sample,93,,Bordeaux,Barsac,,Roger Voss,@vossroger,Château Coutet 2011 Barrel Sample  (Barsac),Bordeaux-style White Blend,Château Coutet
85517,85517,France,"Ripe and spicy, this is an opulent wine, showing great swathes of tropical fruits as well as pepper and just the right amount of acidity. The wine is rich, intense, concentrated and needs to age. Drink from 2016.",Cuvée Particulière,90,17.0,Alsace,Alsace,,Roger Voss,@vossroger,Jean-Marc Bernhard 2011 Cuvée Particulière Pinot Gris (Alsace),Pinot Gris,Jean-Marc Bernhard
87097,87097,Italy,"From the makers of one of Italy's most popular grappas, this vintage-dated Prosecco offers soothing aromas of peach, lime, white peach and spring flowers.",MIllesimato Brut Il Vino dei Poeti,85,15.0,Veneto,Prosecco,,,,Bottega 2010 MIllesimato Brut Il Vino dei Poeti  (Prosecco),Glera,Bottega
